"SAV area data (hectares). See http://www.vims.edu/bio/sav for more information. Key nd=region not mapped, pd=region partially mapped. 2012 SAV Totals are Preliminary.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBPSEG,state,Segment_Name,Sort,1971_ha,1971_nd,1974_ha,1974_nd,1978_ha,1978_nd,1979_ha,1979_nd,1980_ha,1980_nd,1981_ha,1981_nd,1984_ha,1984_nd,1985_ha,1985_nd,1986_ha,1986_nd,1987_ha,1987_nd,1989_ha,1989_nd,1990_ha,1990_nd,1991_ha,1991_nd,1992_ha,1992_nd,1993_ha,1993_nd,1994_ha,1994_nd,1995_ha,1995_nd,1996_ha,1996_nd,1997_ha,1997_nd,1998_ha,1998_nd,1999_ha,1999_nd,2000_ha,2000_nd,2001_ha,2001_nd,2002_ha,2002_nd,2003_ha,2003_nd,2004_ha,2004_nd,2005_ha,2005_nd,2006_ha,2006_nd,2007_ha,2007_nd,2008_ha,2008_nd,2009_ha,2009_nd,2010_ha,2010_nd,2011_ha,2011_nd,2012_ha,2012_nd
CB1TF1,MD,Northern Chesapeake Bay Segment 1,1.1,0,nd,0,nd,0,,0,nd,0,nd,0,nd,7.3,,17.27,,3.23,,3.31,,4.27,,12.08,,35.42,,29.23,,44.22,,120.33,,143.73,,130.76,,142.34,,145.43,,70.81,pd,188.92,,231.15,,258.7,,228.69,,252.08,,300.65,,245.58,,337.43,,407.63,,436.58,,342.34,,201.09,,186.51,
CB1TF2,MD,Northern Chesapeake Bay Segment 2,1.2,0,pd,0,pd,833.98,,220.37,pd,0,pd,0,pd,2169.99,,2039.12,,2349.16,,2216.97,,1944.87,,1772.97,,1673.44,,1767.82,,1749.17,,2590.51,,1952.9,,2016.01,,2347.65,,2164.64,,2525.57,pd,2954.57,,2999.31,,3475.38,,2834.33,,3836.75,,3419.38,,3538.09,,4745.17,,5743.91,,5739.33,,5371.19,,3431.4,,2437.75,
CB1TF2,PA,Northern Chesapeake Bay Segment 2,1.2,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
NORTF,MD,Northeast River,2,0,nd,0,nd,5.52,,0,pd,0,nd,0,nd,0,,0,,2.01,,0.34,,0,,0,,0,,0,,0,,7.96,,6.86,,5.3,,4.98,,9.95,,5.75,,9.43,,0,,30.75,,18.63,,34.06,,31.72,,53.6,,46.56,,73.94,,97.18,,92.42,,43.83,,21.16,
ELKOH1,MD,Elk River Segment 1,3.1,0,nd,0,nd,0.87,,0,nd,0,nd,0,nd,13.7,,38.55,,5.55,,7.24,,189.26,,353.68,,268.43,,240.62,,94.58,,178.67,,122.78,,43.35,,67.12,,197.35,,319.83,,668.88,,746.61,,151.71,,131.36,,683.6,,676.46,,651.69,,643.24,,771.55,,837.75,,769.18,,46.73,,46.5,
ELKOH2,DE,Elk River Segment 2,3.2,0,nd,0,nd,0,,0,nd,0,nd,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
ELKOH2,MD,Elk River Segment 2,3.2,0,nd,0,nd,0,,0,nd,0,nd,0,nd,0,,0,,0.19,,0,,0.85,,2.13,,0.29,,0,,0,,0,,2.29,,0.37,,0.32,,8.73,,3.33,,23.24,,76.79,,24.39,,8.6,,90.19,,118.13,,153.33,,158.05,,178.1,,186.92,,192.34,,11.93,,0,
BOHOH,DE,Bohemia River,4,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
BOHOH,MD,Bohemia River,4,0,pd,0,pd,0,,0,nd,0,pd,0,pd,0,,7.83,,1.57,,0,,6.83,,6.83,,0.25,,1.76,,0.18,,1.19,,11.42,,12.58,,15.09,,46.4,,36.6,,75.72,,143.42,,55.11,,116.59,,295.32,,371.45,,286.8,,234.23,,213.84,,221.32,,84.55,,21.81,,24.64,
C&DOH,DE,Chesapeake & Delaware Canal,5,0,nd,0,nd,0,,0,nd,0,nd,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C&DOH,MD,Chesapeake & Delaware Canal,5,0,pd,0,pd,0.62,,0,pd,0,pd,0,pd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2.66,,0,,0,,3.29,,3.52,,1.22,,0.86,,4.94,,2.93,,6.37,,0,,0,
CB2OH,MD,Upper Chesapeake Bay,6,0,nd,0,nd,50.16,,21.21,pd,0,nd,0,nd,11.12,pd,127.49,,14.61,pd,85.58,,20.76,,7.68,,4.02,,37.84,,11.1,,4.14,,9.7,,27.58,,110.17,,126.56,,0.52,pd,285.38,,82.2,pd,203.21,,85.59,,527.21,,433.32,,175.92,,150.8,,256.13,,301.67,,235.29,,170.46,,119.08,
SASOH1,MD,Sassafras River Segment 1,7.1,0,nd,0,nd,2.18,,0,nd,0,nd,0,nd,20.03,,27.5,,30.69,,34.19,,90.19,,39.31,,30.1,,13.98,,75.42,,71.72,,170.8,,94.59,,105.99,,68.6,,97.27,,387.77,,434.51,,287.12,,123.2,,414.61,,455.38,,329.91,,149.1,,223.46,,326.97,,317.1,,170.7,,106.53,
SASOH2,DE,Sassafras River Segment 2,7.2,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
SASOH2,MD,Sassafras River Segment 2,7.2,0,pd,0,pd,4.23,,0,nd,0,pd,0,pd,0,,0,,2.78,,0,,0,,0,,0,,0,,0,,4.53,,8.99,,5.73,,4.8,,0,,0,,0.82,,38.6,,48.91,,26.63,,99.76,,141.89,,20.21,,1.64,,21.36,,21.52,,51.4,,37.84,,3.71,
BSHOH,MD,Bush River,8,0,nd,0,nd,0.51,,0,pd,0,nd,0,nd,2.4,pd,12.14,,0,pd,14.31,,0,,0,,0,,2.32,,0,,0,,0,,39.04,,34.95,,2.47,,0,pd,78.66,,1.19,pd,141.57,,157.89,,414.48,,293.61,,131.13,,260.2,,210.08,,154.3,,95.55,,112.7,,48.49,
GUNOH1,MD,Gunpowder River Segment 1,9.1,0,nd,0,nd,179.93,,139,,0,nd,0,nd,0,nd,31.65,,0,nd,35.64,,24.55,,86.54,,70.82,,114.73,,35.65,,71.27,,46.28,,294.62,,477.47,,714.35,,64.91,pd,753.2,,0,nd,41.56,,8.4,,535.87,,179,,95.45,,226.19,,316.76,,345.81,,346.82,,199.47,,171.86,
GUNOH2,MD,Gunpowder River Segment 2,9.2,0,nd,0,nd,16.97,,7.48,pd,0,nd,0,nd,0,pd,16.07,,0,pd,0.1,,0,,0,,10.83,,11.35,,10.95,,17.98,,21.97,,77.24,,159.91,,156.37,,59.63,pd,231.4,,0,nd,145.84,,189.55,,431.73,,522.32,,245.62,,366.51,,379,,418.09,,353.26,,361.44,,140.01,
MIDOH,MD,Middle River,10,0,nd,0,nd,107.24,,216.33,,0,nd,0,nd,0,nd,78.35,,0,nd,38.05,,7.92,,2.99,,7.88,,45.72,,6.67,,25.02,,4.76,,31.16,,117.37,,42.73,,38.5,,299.57,,0,nd,254.73,,158.26,,271.42,,183.63,,93.35,,222.73,,334.54,,315.79,,266.39,,126.19,,125.1,
BACOH,MD,Back River,11,0,,0,,0,,0,pd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,12.16,,0,,0,,0,,0,,0,,0.01,,4.28,,0.01,
CB3MH,MD,Upper Central Chesapeake Bay,12,0,nd,0,nd,554.83,,379.74,pd,0,nd,0,nd,382.24,,366.42,,176.09,,227.33,,92.22,,34.88,,22.21,,176.4,,323.83,,331.8,,345.91,,364.51,,370.83,,308.28,,2.78,pd,3.74,,0.5,pd,38.32,,9.23,pd,367.7,,229.24,,68.57,,49.98,,76.38,,94.88,,81.98,,310.57,,175.52,
PATMH,MD,Patapsco River,13,0,pd,0,pd,48.96,,2.21,pd,0,pd,0,pd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.37,,0,,2.3,,1.93,,5.86,,0,pd,0,,0,pd,3.19,,2.64,,81.89,,112.85,,19.46,,3.67,,7.34,,4.67,,0,,1.47,,0,
MAGMH,MD,Magothy River,14,0,nd,0,nd,141.27,,191.52,,0,nd,0,nd,9.52,,5.07,,3.92,,0.26,,0,,0,,0,,0,,13.21,,18.54,,31.67,,37.15,,53.48,,80.02,,26.4,pd,36.38,,0,nd,84.49,,68.28,,121.21,,124.76,,101.27,,33.56,,36.28,,4.9,,0.71,,3.18,,0,
CHSMH,MD,Lower Chester River,15,0,nd,0,nd,1050.3,,922.83,pd,0,nd,0,nd,418.14,,368.5,,161.65,,286.71,,75.42,,32.45,,34.47,,78.75,,306.55,,409.83,,444.2,,311.8,,424.81,,477.89,,297.74,,0,,83.18,,82.9,,47.32,pd,295.7,,186.9,,74.42,,27.34,,33.5,,38.58,,34.04,,114.72,,70.34,
CHSOH,MD,Middle Chester River,16,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1.76,,92.3,,0,,0,,0,,0,,0,,7.26,,0,
CHSTF,DE,Upper Chester River,17,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CHSTF,MD,Upper Chester River,17,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.39,,0,,0,,0,,0,,0,,0,,0,
CB4MH,MD,Middle Central Chesapeake Bay,18,0,nd,0,nd,102.57,,9.06,pd,0,nd,0,nd,18.23,,35.44,,12.51,,6.35,,2.42,,4.91,,2.26,,7.32,,4.88,,0,,0,,0,,20.28,,0,,9.8,,0,,45.39,pd,109.04,,8.65,,4.21,,0,,0,,0,,0,,0.15,,0,,27.59,,0,
EASMH,MD,Eastern Bay,19,0,nd,0,nd,1338.52,,416.3,pd,0,nd,0,nd,87.1,,393.34,,252.65,,897.16,,830.1,,389.14,,67.93,,554.54,,733.72,,976.14,,1347.05,,1488.51,,1848.32,,1107.25,,2005.44,,0,,1168.23,,1124.85,,662.84,,420.54,,310.6,,228.78,,32.42,,36.37,,191.51,,170.65,,660.84,,92.49,
CHOMH1,MD,Mouth of the Choptank River,20,0,nd,0,nd,1842.8,,837.12,pd,0,nd,0,nd,57.75,,1404.84,,283.41,,282.09,,838.08,,119.21,,81.65,,931.76,,1733.97,,1459.84,,1479.74,,2343.65,,2792.59,,2283.31,,1533.56,,680.65,,2128.51,,2664.62,,1202,,1526.62,,927.7,,422.03,,508.64,,186.36,,262.65,,163.54,,1143.58,,305.92,
CHOMH2,MD,Lower Choptank River,21,0,nd,0,nd,94.31,,79.48,pd,0,nd,0,nd,0,,36.42,,8.79,,0,,0,,0,,0,,5.66,,4.02,,0,,0,,0,,1.76,,0,,0,,0,,59.95,,62.5,,0,,0.4,,0,,0,,0,,0,,0,,0,,18.1,,7.35,
CHOOH,MD,Middle Choptank River,22,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CHOTF,MD,Upper Choptank River,23,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
LCHMH,MD,Little Choptank River,24,0,nd,0,nd,134.46,,3.76,pd,0,nd,0,nd,28.12,,367.27,,162.07,,70.93,,27.75,,68.37,,30.01,,139.56,,154.41,,53.78,,18.35,,344.2,,529.39,,617.22,,648.83,,468.41,,962.43,,1175.56,,317.23,,493.9,,105,,48.89,,57.12,,32.56,,71.47,,69.14,,192.88,,46.26,
SEVMH,MD,Severn River,25,0,nd,0,nd,133.78,,129.79,pd,0,nd,0,nd,0,,0,,0.12,,0,,0,,0,,0,,0,,0,,31.32,,50.97,,110.26,,123.87,,163.4,,184.11,pd,51.85,,48.52,pd,114.13,,89.67,,157.03,,172.2,,166.27,,131.9,,125.95,,85.39,,70.73,,77.77,,73.16,
SOUMH,MD,South River,26,0,nd,0,nd,20.59,,0,nd,0,nd,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,1.69,,1.83,,8.71,,16.35,,22,,6.96,,0,,10.74,pd,14.41,,5.51,,18.65,,4.12,,0,,3.24,,0,,0,,0,,0,,1.7,
RHDMH,MD,Rhode River,27,0,nd,0,nd,5.92,,0,nd,0,nd,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
WSTMH,MD,West River,28,0,pd,0,pd,46.65,,0,nd,0,pd,0,pd,0,,2.19,,0.41,,0,,0,,0,,0,,0,,0,,4.68,,0,,0,,0,,3.21,,0,,0,,0,,0,,9.32,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CB5MH,MD,Lower Central Chesapeake Bay,29,0,nd,0,nd,8.67,,394.78,pd,0,nd,0,nd,5.41,pd,378.02,,243.01,,535.99,,547.22,,660.75,,234.84,,888.38,,458.25,,10.43,,0,,1.53,,68.95,,2.02,,265.81,,557.53,,872.77,,864.77,,282.98,,160.8,,371.95,,231.96,,203.95,,458.9,,922.68,,174.85,,283.8,,212.74,
CB5MH,VA,Lower Central Chesapeake Bay,29,0,nd,198.66,pd,358.55,,0,nd,30.11,,133.38,,269.71,,171.89,,203.27,,321.3,,490.28,,608.22,,634.66,,778.43,,813.1,,756.75,,702.8,,709.33,,667.12,,658.53,,640.17,,725.39,,943.82,,1120.16,,352.14,pd,741.98,,997.27,,816.28,,542.93,,788.18,,930.39,,970.65,,561.23,,94.45,
HNGMH,MD,Honga River,30,0,nd,0,nd,132.14,,157.03,pd,0,nd,0,nd,13.42,,317.21,,257.38,,641.76,,998.18,,1167.9,,1347.45,,1534.55,,1845.44,,1391.43,,895.67,,623,,890.51,,316.37,,774.49,,1143.19,,2002.85,,2558.72,,1150.35,,1388.46,,1771,,847.69,,806.42,,1604.42,,1991.88,,880.1,,1049.14,,972.79,
FSBMH,MD,Fishing Bay,31,0,pd,0,pd,0,,0,nd,0,pd,0,pd,0,,0,,0.08,,2.04,,8.85,,5.41,,0.6,,13.62,,15.67,,25.88,,10.83,,0,,0,,0,,2.02,,2.56,,2.24,,44.03,,6.1,,6.76,,2.67,,5.26,,0,,8.97,,59.57,,56.04,,63.31,,26.15,
NANMH,MD,Lower Nanticoke River,32,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
NANOH,MD,Middle Nanticoke River,33,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
NANTF,DE,Upper Nanticoke River,34,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
NANTF,MD,Upper Nanticoke River,34,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
WICMH,MD,Wicomico River,35,0,,0,,0,,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
TANMH1,MD,Tangier Sound Segment 1,36.1,0,nd,0,nd,690.12,,631.18,pd,22.62,pd,368.82,pd,1479.11,,1913.7,,2509.1,,2209.08,,2921.87,,3069.66,,3418.87,,3693.94,,3384.65,,2236.24,,1792.83,,1675.5,,1289.92,,716.78,,1886.97,,2599.62,,2978.34,,3473.09,,1817.26,,1718.47,,2190.26,,1674.97,,1700.47,,2053.39,,2883.66,,3199.95,,2485.23,,2465.19,
TANMH1,VA,Tangier Sound Segment 1,36.1,0,nd,0,nd,2237.1,,70.73,pd,1821.2,pd,2171.47,pd,3029.71,,2882.68,,3206.12,,2782.99,,3375.14,,3444.93,,3575.66,,3636.44,,3444.19,,2757.53,,2828.26,,2786.22,,2535.66,,1958.94,,2410.54,,2486.64,,2409.2,,2603.67,,1988.24,,1737.42,,2195.1,,2254.39,,2178.83,,2366.87,,2281.56,,2291.78,,1813.96,,1749.16,
TANMH2,MD,Tangier Sound Segment 2,36.2,0,nd,0,nd,0.16,,0,nd,0,nd,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1.95,,0,,0,,0,,0.36,,0,,0,,1.89,,1.88,,1.36,,1.6,
MANMH1,MD,Manokin River Segment 1,37.1,0,nd,0,nd,77.91,,0,pd,0,nd,0,nd,0,,72.48,,139.66,,139.32,,87.84,,102.98,,114.42,,143.61,,156.74,,66.87,,93.6,,8.04,,56.44,,14.01,,96.76,,182.68,,163.36,,292.75,,94.95,,117.85,,165.87,,93.55,,115.44,,167.91,,236.86,,352.54,,216.13,,236.01,
MANMH2,MD,Manokin River Segment 2,37.2,0,nd,0,nd,0,,0,nd,0,nd,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1.76,,0,,0,,0,,0,,0,,0,,0,,5.22,,2.66,,4.29,
BIGMH1,MD,Big Annemessex River Segment 1,38.1,0,nd,0,nd,178.84,,0.16,pd,0,nd,0,nd,0,,147.52,,166.44,,93.92,,142.86,,127.29,,175.42,,175.83,,185.35,,161.56,,179.44,,87.91,,143.25,,94.35,,183.15,,238.34,,291.68,,315.73,,182.29,,222.19,,287.48,,206.94,,231.26,,292.31,,343.72,,384.13,,271.71,,305.66,
BIGMH2,MD,Big Annemessex River Segment 2,38.2,0,nd,0,nd,0,,0,pd,0,nd,0,nd,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.03,,0,,0,,0,,0,,0,,0,,0.74,,0,,0,,0,,0,,0,,0,,0,,0,,0.47,,1.58,
POCMH,MD,Lower Pocomoke River,39,0,nd,0,nd,4.34,,9.08,pd,0,nd,0,nd,36.49,,10.78,,26.44,,22.32,,38.58,,23.99,,23.44,,28.36,,27.66,,20.53,,21.32,,15.25,,11.69,,4.06,,15.79,,24.58,,23.68,,39.48,,23.57,,28.05,,28.1,,26.86,,14.51,,32.46,,48.5,,61.29,,53.93,,66.07,
POCMH,VA,Lower Pocomoke River,39,0,nd,0,nd,82.95,,0,pd,112.42,pd,250.11,pd,394.66,,373.97,,529.68,,451.41,,561.8,,571.46,,708.35,,690.74,,747.83,,644.26,,633.62,,636.83,,518.14,,455.4,,450.44,,464.71,,595.06,,693.69,,650.68,,442.9,,694.6,,481.08,,430.1,,532.84,,696.41,,782.04,,646.8,,492.88,
